v(SL),v(SW),v(PL),v(PW),Iris Class,,v'(SL),v'(SW),v'(PL),v'(PW),Iris Class
7.4,2.8,6.1,1.9,Iris-virginica,,0.861111111,0.333333333,0.86440678,0.75,0.5
7.9,3.8,6.4,2,Iris-virginica,,1,0.75,0.915254237,0.791666667,0.5
6.4,2.8,5.6,2.2,Iris-virginica,,0.583333333,0.333333333,0.779661017,0.875,0.5
6.3,2.8,5.1,1.5,Iris-virginica,,0.555555556,0.333333333,0.694915254,0.583333333,0.5
6.1,2.6,5.6,1.4,Iris-virginica,,0.5,0.25,0.779661017,0.541666667,0.5
7.7,3,6.1,2.3,Iris-virginica,,0.944444444,0.416666667,0.86440678,0.916666667,0.5
6.3,3.4,5.6,2.4,Iris-virginica,,0.555555556,0.583333333,0.779661017,0.958333333,0.5
6.4,3.1,5.5,1.8,Iris-virginica,,0.583333333,0.458333333,0.762711864,0.708333333,0.5
6,3,4.8,1.8,Iris-virginica,,0.472222222,0.416666667,0.644067797,0.708333333,0.5
6.9,3.1,5.4,2.1,Iris-virginica,,0.722222222,0.458333333,0.745762712,0.833333333,0.5
6.7,3.1,5.6,2.4,Iris-virginica,,0.666666667,0.458333333,0.779661017,0.958333333,0.5
6.9,3.1,5.1,2.3,Iris-virginica,,0.722222222,0.458333333,0.694915254,0.916666667,0.5
5.8,2.7,5.1,1.9,Iris-virginica,,0.416666667,0.291666667,0.694915254,0.75,0.5
6.8,3.2,5.9,2.3,Iris-virginica,,0.694444444,0.5,0.830508475,0.916666667,0.5
6.7,3.3,5.7,2.5,Iris-virginica,,0.666666667,0.541666667,0.796610169,1,0.5
6.7,3,5.2,2.3,Iris-virginica,,0.666666667,0.416666667,0.711864407,0.916666667,0.5
6.3,2.5,5,1.9,Iris-virginica,,0.555555556,0.208333333,0.677966102,0.75,0.5
6.5,3,5.2,2,Iris-virginica,,0.611111111,0.416666667,0.711864407,0.791666667,0.5
6.2,3.4,5.4,2.3,Iris-virginica,,0.527777778,0.583333333,0.745762712,0.916666667,0.5
5.9,3,5.1,1.8,Iris-virginica,,0.444444444,0.416666667,0.694915254,0.708333333,0.5
,,,,,,,,,,
4.3,2,1,0.1,Min,,,,,,
7.9,4.4,6.9,2.5,Max,,,,,,
